# Формат: ID|Название|Описание|Значение|Вес|Норма|Скорость|Активации стилей|Критический|Мин.значение|Макс.значение
# Активации стилей: id1,id2,id3
1|Голод|Дефицит ориентированный параметр. Показывает уровень энергии агента|99.03979|65|70|-1|0:1,8,11;1:7,14;2:7,16;3:8,9;4:8,9,13;5:1,8,13;6:8,11,13|True|10|100
2|Повреждения|Избыток ориентированный параметр. Показывает уровень повреждений|0.9599994|60|30|1|0:2,9;1:7,14,16;2:7,10,14;3:2,11;4:2,12;5:2,13;6:2,12,13|True|0|60
3|Стресс|Избыток ориентированный параметр. Психологическая устойчивость агента к внешним раздражителям и нагрузкам.|0.7399996|64|50|1|0:1,8,9;1:7,17;2:10;3:1,11;4:8,11;5:1,8,12;6:8,12,13|True|0|90
4|Обучение|Избыток ориентированный параметр. Служит для стимулирования исследований|0.7399996|25|60|1|0:1,8,16;1:7,10,16;2:14,16;3:8,9,16;4:1,9;5:9,17;6:1,8|False|0|100
5|Общение|Избыток ориентированный параметр. Служит для стимулирования коммуникативности|0.9599994|20|60|1|0:1,17;1:7,10;2:10,14;3:16,17;4:1,16,17;5:1,14,17;6:14,16,17|False|0|100
6|Поиск|Избыток ориентированный параметр. Основа поискового поведения|0.7399996|15|30|1|0:1;1:7,14,17;2:7;3:1,9,14;4:1,9,17;5:1,9,16;6:1,16|False|0|100
7|Самосохранение|Избыток ориентированный параметр. Сохранение целостности.|0.7399996|35|30|1|0:2,8,9;1:7,10,17;2:14;3:1,2,8;4:1,2,11;5:1,2,13;6:12,13|True|0|90
