# Реестр групп сценариев оператора
# SCENARIO_GROUP_REGISTRY_FORMAT|1
# Id|Title|Description
1|Тестовые прогоны всех сценариев|
2|Тестирование УМ1 и УМ2 в связке с циклами мышления|Тестирование производится при помощи 2 тестов:\n3 стадия: подготовка данных для следующего теста. Для этого в режиме отзеркаливания формируются три пары автоматизмов эхо и сдвиг на один и тот же стимул, но каждая пара в своем констексте условий, состоянии Плохо, Норма, Хорошо.\n4 стадия: проверяется как активируются УМ1, УМ2 и циклы мышления.
